[2021-10-04 20:59:31] Send        02  00  00  03  
[2021-10-04 20:59:32] Send        02  00  00  03  
[2021-10-04 20:59:32] Receive     03  02  4F  53  4E 00  
[2021-10-04 21:00:00] Receive     02  06  43  03  00 00  
[2021-10-04 21:00:01] Receive     02  06  43  03  00 00  
[2021-10-04 21:00:03] Receive     02  06  43  03  00 00  
[2021-10-04 21:00:04] Receive     02  06  43  03  00 00  
[2021-10-04 21:00:05] Receive     15  00  00  00  00 00  
[2021-10-04 21:00:12] Receive     02  06  43  03  00 00  
[2021-10-04 21:00:13] Receive     02  06  43  03  00 00  
[2021-10-04 21:00:15] Receive     02  06  43  03  00 00  
[2021-10-04 21:00:16] Receive     02  06  43  03  00 00  
[2021-10-04 21:00:19] Receive     15  00  00  00  00 00  
